index#name#setting
0#Infi-MM/infimm-zephyr#
1#Qwen/Qwen-VL-Chat#
2#llava-hf/vip-llava-13b-hf#
3#llava-hf/vip-llava-7b-hf#
4#llava-hf/llava-1.5-7b-hf#
5#llava-hf/llava-v1.6-mistral-7b-hf#
6#llava-hf/llava-v1.6-vicuna-7b-hf#
7#llava-hf/llava-v1.6-vicuna-13b-hf#
8#llava-hf/llava-v1.6-34b-hf#
9#public/THUDM/cogvlm-chat-hf#
10#chatgpt#
11#claude3#
12#gemini#
